fips,area_sqmi,e_totpop,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4,rpl_themes
48201210700,0.435842,2657,0.8371,0.6014,0.9176,0.7568,0.8535
48201210800,1.413312,2709,0.9215,0.5991,0.9229,0.5649,0.8381
48201210900,0.486722,1209,0.839,0.6382,0.8569,0.3299,0.7139
48201211000,0.432305,1941,0.9181,0.8602,0.9267,0.6902,0.9234
48201211100,0.922199,5953,0.8584,0.9146,0.9449,0.6973,0.9217
48201211200,0.657481,2362,0.9202,0.8257,0.8623,0.6296,0.8921
48201211300,1.06487,5303,0.9453,0.7956,0.8862,0.6263,0.8982
48201211400,1.39702,3837,0.8311,0.9121,0.7796,0.4746,0.8157
48201211500,2.334278,6929,0.9372,0.5304,0.992,0.6837,0.8865
48201211600,0.449617,2749,0.7726,0.3865,0.8906,0.6952,0.7558
48201211700,1.715113,3990,0.7964,0.7491,0.8971,0.7988,0.8731
48201211900,0.481672,5478,0.9334,0.5125,0.9916,0.5525,0.8429
48201212300,1.241177,4644,0.9812,0.8104,0.8906,0.9509,0.9821
48201212400,3.136859,2715,0.8373,0.4679,0.9673,0.6137,0.8001
48201212500,4.163807,3980,0.944,0.7677,0.9126,0.1868,0.7542
48201220100,0.685091,2208,0.9482,0.7847,0.9581,0.5903,0.9042
48201220200,0.569959,2609,0.6321,0.4773,0.9017,0.2022,0.5584
48201220300,0.764664,4334,0.7856,0.3783,0.8914,0.2534,0.6215
48201220400,0.73559,4190,0.7565,0.4047,0.9711,0.7209,0.784
48201220500,0.927441,3606,0.8426,0.669,0.8952,0.9931,0.9618
48201220600,0.641278,3940,0.9664,0.6095,0.9547,0.4922,0.8523
48201220700,1.607254,6554,0.9864,0.7554,0.9635,0.8195,0.9601
48201220800,0.669751,3740,0.9303,0.9037,0.9562,0.723,0.9445
48201220900,0.578129,1796,0.9367,0.6432,0.9378,0.7848,0.9157
48201221000,0.957382,4205,0.8981,0.6246,0.9422,0.7456,0.8913
48201221100,1.181934,3830,0.8637,0.4921,0.9428,0.3729,0.7306
48201221200,0.965491,6732,0.7175,0.5085,0.9654,0.4178,0.6889
48201221300,1.325082,9920,0.7995,0.3756,0.9543,0.6021,0.7519
48201221400,0.779692,5977,0.9551,0.33,0.9644,0.8751,0.9109
48201221500,0.872781,8350,0.8812,0.5143,0.9801,0.9927,0.9681
48201221600,2.224076,9861,0.7903,0.5396,0.9665,0.4416,0.7335
48201221700,2.054181,8240,0.7653,0.4304,0.9541,0.3031,0.6601
48201221800,1.212851,4000,0.777,0.4739,0.9784,0.6069,0.7725
48201221900,1.028599,4790,0.9217,0.6369,0.9717,0.5153,0.8439
48201222000,0.438822,2376,0.8244,0.0971,0.8929,0.5874,0.6617
48201222100,0.8823,5617,0.9687,0.4894,0.9554,0.8427,0.9267
48201222200,1.151109,3717,0.872,0.2768,0.9594,0.8016,0.8339
48201222300,1.928671,4920,0.8624,0.4731,0.9566,0.6633,0.8258
48201222401,1.951407,3263,0.787,0.3419,0.9451,0.8229,0.8124
48201222402,1.568361,6417,0.8091,0.4453,0.9155,0.4119,0.6999
48201222501,0.351146,4136,0.8071,0.5311,0.9895,0.6543,0.8164
48201222502,1.317602,3723,0.915,0.4287,0.9156,0.7669,0.8629
48201222503,0.657625,7602,0.9605,0.6039,0.9893,0.8625,0.9472
48201222600,1.011935,5109,0.9428,0.6491,0.9858,0.7468,0.9195
48201222700,2.734162,5773,0.968,0.9508,0.7081,0.7376,0.938
48201222800,2.597959,3148,0.8756,0.5338,0.9302,0.6033,0.8201
48201222900,2.23942,7548,0.6926,0.6324,0.9522,0.3476,0.6788
48201223001,1.198419,4465,0.8712,0.525,0.9736,0.5371,0.8074
48201223002,0.285898,3870,0.8386,0.5359,0.9945,0.8135,0.885
48201223100,1.834647,2336,0.8707,0.456,0.8303,0.5615,0.7636
48201230100,0.525183,1169,0.858,0.5995,0.8173,0.6305,0.8028
48201230200,3.003669,4937,0.8436,0.8805,0.6704,0.9192,0.9232
48201230300,0.673531,2257,0.8964,0.6964,0.8592,0.4458,0.7972
48201230400,1.109874,3423,0.887,0.515,0.9116,0.6215,0.8214
48201230500,1.335926,3737,0.8931,0.6901,0.9244,0.8176,0.914
48201230600,0.836496,2827,0.967,0.9837,0.9038,0.2883,0.9005
48201230700,1.04185,2873,0.9361,0.9554,0.8592,0.8394,0.9664
48201230800,0.715016,2523,0.8914,0.6805,0.9011,0.5964,0.8424
48201230900,2.454651,4227,0.9568,0.8851,0.7536,0.7063,0.9182
48201231000,1.590851,4440,0.862,0.8529,0.8355,0.8312,0.9209
48201231100,4.270044,4867,0.9303,0.6667,0.8923,0.8212,0.9172
48201231200,5.360946,6998,0.8137,0.9458,0.834,0.7071,0.9019
48201231300,1.856963,4615,0.8666,0.9165,0.8284,0.7088,0.9092
48201231400,1.29229,2645,0.7799,0.9159,0.6653,0.3626,0.7239
48201231500,0.447722,3000,0.8952,0.9535,0.795,0.7278,0.927
48201231600,0.642788,3136,0.7841,0.7386,0.8374,0.2668,0.6826
48201231700,1.63334,3443,0.9056,0.5962,0.9682,0.6269,0.8579
48201231800,1.083611,2925,0.8885,0.8276,0.8919,0.6206,0.8825
48201231900,3.39602,7687,0.9286,0.7705,0.9264,0.5137,0.8618
48201232000,6.157571,4632,0.8423,0.7851,0.9436,0.5009,0.8295
48201232100,1.239995,3504,0.7933,0.4769,0.9627,0.8807,0.8683
48201232200,7.657451,17871,0.2934,0.3022,0.7299,0.4508,0.4149
48201232301,9.957695,11956,0.8081,0.6426,0.8273,0.7418,0.8257
48201232302,4.599041,11856,0.768,0.4581,0.8359,0.3083,0.6394
48201232401,5.643195,8938,0.7728,0.1963,0.8267,0.4046,0.6068
48201232402,0.547177,4046,0.7935,0.5185,0.8198,0.4502,0.6972
48201232403,0.785704,4702,0.8073,0.5018,0.8959,0.6066,0.7667
48201232500,4.419536,4300,0.8102,0.7571,0.8217,0.8719,0.8934
48201232600,2.36272,3210,0.6761,0.5777,0.8045,0.0859,0.4996
48201232701,1.802637,8306,0.9501,0.4275,0.9841,0.9919,0.975
48201232702,1.688943,6047,0.9165,0.7709,0.9367,0.8663,0.9447
48201232800,0.763519,5691,0.6371,0.6677,0.7408,0.3309,0.6083
48201232900,1.261569,7170,0.6479,0.5564,0.7573,0.7447,0.717
48201233001,0.365128,3941,0.6079,0.833,0.6551,0.5411,0.6767
48201233002,0.66647,4737,0.5275,0.099,0.6999,0.071,0.2719
48201233003,0.389819,2834,0.3648,0.453,0.6515,0.0599,0.2773
48201233101,0.669619,4426,0.821,0.3089,0.8298,0.877,0.8151
48201233102,0.943767,7125,0.9672,0.592,0.9137,0.7589,0.913
48201233103,0.630035,5374,0.9935,0.7075,0.9298,0.8565,0.9631
48201233200,1.216498,6380,0.7866,0.3982,0.8822,0.2231,0.6123
48201233300,4.024408,4588,0.8169,0.5721,0.922,0.7552,0.8404
48201233400,1.006941,2719,0.9021,0.4082,0.8747,0.7969,0.8514
48201233500,1.077021,8028,0.9255,0.2189,0.8996,0.7581,0.813
48201233600,1.380144,2095,0.8225,0.6669,0.8634,0.4445,0.7496
48201233701,2.63985,5700,0.7956,0.3695,0.8745,0.4203,0.674
48201233702,0.963162,2945,0.9259,0.6865,0.9705,0.517,0.8545
48201233703,2.716277,2386,0.7787,0.4128,0.9112,0.2361,0.6248
48201240100,1.384269,3716,0.8781,0.3208,0.8567,0.8421,0.8372
48201240400,8.067112,8110,0.5828,0.5464,0.8062,0.3073,0.5668
48201240501,1.267987,6135,0.8922,0.6108,0.9801,0.6649,0.87
48201240502,0.247929,5941,0.9768,0.6332,0.9767,0.6787,0.9169
48201240600,0.944181,2792,0.8417,0.5248,0.9901,0.8228,0.8854
48201240701,2.860797,14014,0.5845,0.3532,0.8043,0.2676,0.5071
48201240702,3.955447,15566,0.6807,0.493,0.8124,0.4999,0.6621
48201240801,1.125293,5965,0.6452,0.4919,0.742,0.4577,0.6164
48201240802,4.688377,6280,0.6051,0.6708,0.7336,0.5987,0.673
48201240901,2.226132,11859,0.4736,0.2388,0.6463,0.3886,0.4328
48201240902,4.61552,15047,0.4306,0.5127,0.6834,0.2818,0.4497
48201241000,6.61595,8901,0.4379,0.6746,0.5822,0.2549,0.4464
48201241101,0.790249,4967,0.3708,0.2658,0.5092,0.259,0.3128
48201241102,2.545791,12376,0.3472,0.521,0.5805,0.1776,0.3416
48201241103,1.074154,4054,0.4846,0.0919,0.5507,0.6608,0.4422
48201241200,1.895925,7660,0.4949,0.3879,0.5876,0.1398,0.3602
48201241300,6.614533,11354,0.2238,0.1779,0.4556,0.2634,0.2166
48201241400,4.198754,9781,0.4431,0.3628,0.2879,0.4425,0.3788
48201241500,12.847766,8448,0.8008,0.5162,0.7777,0.9198,0.8568
48201250100,5.466195,9043,0.5838,0.5173,0.5972,0.4796,0.5613
48201250200,2.3081,10730,0.6536,0.6874,0.7177,0.5379,0.6749
48201250301,4.503593,10953,0.5176,0.1502,0.6048,0.686,0.5031
48201250302,1.937618,11705,0.2527,0.3361,0.4948,0.1283,0.221
48201250401,1.812574,12558,0.304,0.3748,0.4784,0.0501,0.1918
48201250402,7.59303,21495,0.0825,0.3124,0.2879,0.1166,0.1123
48201250500,1.760808,6372,0.4024,0.6784,0.4799,0.2925,0.4219
48201250600,5.407599,8403,0.6481,0.7612,0.7355,0.7905,0.7742
48201250701,6.759532,5647,0.3786,0.1262,0.2863,0.1947,0.2041
48201250702,1.159305,4933,0.3084,0.3681,0.2697,0.0543,0.1573
48201250800,2.679108,9037,0.0925,0.6152,0.0689,0.0466,0.0772
48201250900,4.438473,9902,0.076,0.2603,0.0312,0.3489,0.1254
48201251000,2.989092,3094,0.2909,0.2251,0.2527,0.5801,0.3105
48201251100,4.050167,7459,0.2746,0.5369,0.1433,0.231,0.2373
48201251200,1.336828,6572,0.4917,0.3815,0.3454,0.2135,0.3372
48201251300,2.523493,7108,0.1833,0.3563,0.027,0.0811,0.0889
48201251401,0.465104,2894,0.1539,0.0868,0.131,0.0322,0.0252
48201251402,1.030655,6245,0.2418,0.4549,0.1806,0.0591,0.1392
48201251501,6.921624,5973,0.1447,0.2199,0.0933,0.0205,0.0301
48201251502,2.101059,9515,0.0873,0.2996,0.0654,0.0363,0.0353
48201251503,0.358564,2258,0.109,0.4553,0.1021,0.0351,0.0588
48201251600,22.384614,6551,0.1946,0.37,0.0851,0.2885,0.1822
48201251700,27.585415,8266,0.3026,0.7602,0.2565,0.3787,0.3715
48201251800,13.982684,2148,0.1896,0.4118,0.2967,0.3397,0.2492
48201251901,16.318668,10259,0.3767,0.1668,0.1731,0.0986,0.1521
48201251902,6.366678,6020,0.2167,0.6872,0.1626,0.0514,0.153
48201252000,15.571925,19799,0.1658,0.1498,0.5411,0.2918,0.2133
48201252100,8.958179,2274,0.4755,0.3101,0.6186,0.1907,0.3685
48201252200,8.379748,9502,0.5671,0.3637,0.7351,0.7865,0.658
48201252301,1.055558,9856,0.5857,0.3672,0.7886,0.3058,0.5267
48201252302,2.965687,13616,0.6791,0.1975,0.8154,0.3401,0.5442
48201252400,2.054658,6947,0.6615,0.7675,0.7117,0.5283,0.6903
48201252500,11.685884,3779,0.8611,0.2561,0.701,0.4232,0.6367
48201252600,12.903905,8501,0.8887,0.6999,0.7835,0.6935,0.8466
48201252700,18.15063,4157,0.5822,0.8864,0.4281,0.7648,0.6955
48201252800,23.554629,6917,0.7666,0.6832,0.7511,0.6298,0.7571
48201252900,5.43505,8103,0.7001,0.6397,0.5086,0.5413,0.631
48201253000,5.785867,4464,0.7143,0.42,0.6635,0.6167,0.6575
48201253100,11.141338,11333,0.346,0.2806,0.5077,0.0562,0.2001
48201253200,14.036999,10564,0.5164,0.7899,0.5641,0.3392,0.5413
48201253300,2.987994,3524,0.4443,0.7368,0.3409,0.1959,0.381
48201253400,4.945194,635,0.4287,0.8874,0.5951,0.9967,0.8305
48201253500,2.25999,9964,0.7663,0.66,0.7429,0.9413,0.8752
48201253600,2.124735,7093,0.668,0.657,0.7093,0.785,0.7508
48201253700,1.570057,5806,0.5895,0.248,0.6368,0.9327,0.6772
48201253800,2.914071,8252,0.6801,0.6221,0.6303,0.6198,0.6732
48201253900,1.698399,4218,0.7024,0.8192,0.3766,0.779,0.7166
48201254000,0.99099,3967,0.5281,0.8226,0.521,0.9271,0.746
48201254100,1.23493,5375,0.7776,0.9722,0.7513,0.9237,0.9434
48201254200,0.486573,2639,0.9252,0.9355,0.8562,0.1978,0.7978
48201254300,1.165247,5221,0.863,0.7148,0.7062,0.8907,0.8884
48201254400,1.062535,3012,0.9799,0.9286,0.8778,0.6066,0.9364
48201254500,1.901732,1843,0.82,0.4367,0.8171,0.8678,0.8362
48201254600,1.9204,3446,0.6782,0.425,0.8414,0.3998,0.6254
48201254700,5.490398,2461,0.5354,0.9489,0.5748,0.8235,0.7613
48201310100,1.28669,5327,0.6755,0.0929,0.737,0.8859,0.6628
48201310200,0.720754,1830,0.1132,0.0056,0.4732,0.1782,0.0453
48201310300,0.868389,4859,0.71,0.0954,0.7913,0.3048,0.4923
48201310400,0.659651,3554,0.8845,0.9433,0.9705,0.5772,0.9205
48201310500,1.161638,4507,0.9238,0.6932,0.9531,0.9281,0.9566
48201310600,0.685648,5874,0.8085,0.3587,0.9164,0.4692,0.6997
48201310700,0.751447,4302,0.7068,0.358,0.8453,0.9064,0.7959
48201310800,0.733433,2604,0.8336,0.335,0.9237,0.9148,0.8654
48201310900,0.671897,5322,0.8484,0.869,0.979,0.9474,0.971
48201311000,0.897289,6175,0.933,0.7558,0.9782,0.3551,0.8303
48201311100,0.947406,5365,0.8369,0.6313,0.9885,0.8381,0.9057
48201311200,1.139125,4875,0.819,0.6884,0.9223,0.5505,0.8038
48201311300,0.565499,5148,0.8233,0.126,0.9635,0.581,0.6868
48201311400,0.903843,1541,0.8509,0.0902,0.9459,0.7441,0.7316
48201311500,0.897982,7433,0.8979,0.6365,0.9696,0.7117,0.8873
48201311600,0.189651,3798,0.9513,0.3428,0.9851,0.9939,0.9685
48201311700,1.060908,5860,0.9194,0.5422,0.973,0.999,0.9837
48201311800,0.945804,4465,0.9188,0.6683,0.9497,0.7491,0.9088
48201311900,0.800948,2600,0.8877,0.7497,0.9334,0.6597,0.8829
48201312000,0.708052,5287,0.5667,0.0084,0.3154,0.7671,0.3291
48201312100,0.51647,3879,-999,0.0017,0.2651,-999,-999
48201312200,0.419706,2002,0.9117,0.8326,0.6785,0.9442,0.9428
48201312300,0.544816,1894,0.8066,0.4313,0.7995,0.7347,0.7723
48201312400,0.417954,2212,0.9539,0.4474,0.4547,0.5599,0.703
48201312500,0.691399,3325,0.337,0.0069,0.452,0.891,0.3091
48201312600,0.834329,7365,0.2533,0.0251,0.5252,0.83,0.3201
48201312700,0.311273,2386,0.5028,0.1894,0.4671,0.1732,0.3011
48201312800,0.36096,2514,0.9708,0.3557,0.5872,0.9296,0.8677
48201312900,0.549566,4022,0.6218,0.2938,0.4436,0.818,0.6039
48201313000,0.42421,2603,0.5392,0.6018,0.3816,0.8394,0.6244
48201313100,1.498589,3561,0.1242,0.0419,0.2974,0.6351,0.1841
48201313200,1.179203,4002,0.4941,0.3821,0.4158,0.6917,0.5152
48201313300,0.876399,2444,0.7423,0.8696,0.5358,0.4399,0.6813
48201313400,0.717412,3152,0.8411,0.8359,0.5472,0.7075,0.804
48201313500,0.628411,2862,0.878,0.892,0.7085,0.8415,0.9184
48201313600,0.894413,4620,0.9206,0.7828,0.7228,0.9394,0.9411
48201313700,0.510843,2265,0.6843,0.6261,0.7651,0.705,0.7339
48201313800,0.851451,4763,0.9117,0.8632,0.6503,0.5761,0.8351
48201313900,1.064013,4554,0.2497,0.0088,0.5176,0.4913,0.1759
48201314001,0.542891,2805,0.2721,0.014,0.5578,0.7161,0.2638
48201314002,0.70928,6651,0.3347,0.0079,0.3871,0.7351,0.2392
48201314300,0.581977,4263,0.6108,0.0548,0.5528,0.545,0.4326
48201314400,0.914974,3670,0.3372,0.0067,0.6138,0.4842,0.2187
48201320100,0.380056,2822,0.6747,0.3819,0.9868,0.9856,0.8894
48201320200,1.540255,5548,0.7797,0.3007,0.9321,0.8118,0.7913
48201320500,2.136801,4585,0.664,0.1546,0.9199,0.264,0.5148
48201320601,0.525951,2680,0.7676,0.2965,0.9323,0.4573,0.6728
48201320602,0.584716,4835,0.9434,0.2471,0.9424,0.8193,0.86
48201320700,1.329743,4439,0.7918,0.2431,0.8753,0.6459,0.7058
48201320800,1.128047,5175,0.8116,0.8548,0.9397,0.9707,0.9651
48201320900,0.894848,7272,0.7511,0.5622,0.8845,0.7687,0.8059
48201321000,1.53008,9294,0.8849,0.6259,0.8879,0.657,0.8441
48201321100,2.132411,8514,0.6649,0.0994,0.8064,0.3512,0.4942
48201321200,1.143265,3747,0.8536,0.5673,0.8709,0.9478,0.9186
48201321300,0.6084,7091,0.8883,0.6642,0.9114,0.6626,0.8604
48201321401,0.797896,5089,0.9177,0.5453,0.8841,0.4725,0.7901
48201321402,0.756124,4398,0.5755,0.3451,0.8738,0.5415,0.6135
48201321500,0.363474,2965,0.9336,0.7393,0.9612,0.9204,0.9616
48201321600,1.115023,6862,0.5832,0.6807,0.8242,0.657,0.701
48201321700,0.745094,3307,0.5569,0.1444,0.8125,0.3647,0.4685
48201321800,0.503833,4274,0.84,0.3926,0.947,0.2601,0.6674
48201321900,0.953136,5525,0.857,0.2695,0.8676,0.8628,0.827
48201322000,0.269693,5442,0.9818,0.5131,0.965,0.8872,0.9476
48201322100,0.839533,4252,0.9405,0.7652,0.8554,0.9611,0.9683
48201322200,0.364848,1660,0.9472,0.5246,0.8722,0.826,0.9038
48201322600,0.957146,5772,0.8532,0.629,0.6656,0.6645,0.7755
48201322700,0.798779,7850,0.7248,0.7131,0.7632,0.4905,0.7035
